N,t,Q,V,E,T
328,32040.0015218183,2.22559835436279,3.7902687,193.3,26.067228
328,32050.0015222933,2.22629298448978,3.7903476,193.3,25.878096
328,32060.0015227683,2.22698762097522,3.7904656,193.3,26.043587
328,32070.0015232433,2.22768225294083,3.7905838,193.3,26.035707
328,32080.0015237182,2.22837688437018,3.7906232,193.3,25.917496
328,32090.0015241932,2.2290715159746,3.7907808,193.3,25.791407
328,32100.0015246682,2.22976615236153,3.790899,193.3,25.972664
328,32110.0015251432,2.23046078715064,3.7910171,193.3,26.138155
328,32120.0015256181,2.23115541987139,3.7913322,193.3,25.941139
328,32130.0015260931,2.23185005205587,3.7913322,193.3,25.964781
328,32140.0015265681,2.23254469251393,3.7914109,193.4,26.059349
328,32150.0015270431,2.23323932577091,3.7915685,193.4,26.019945
328,32160.001527518,2.2339339571018,3.7917261,193.4,26.130276
328,32170.001527993,2.23462858910021,3.7917261,193.4,25.878096
328,32180.001528468,2.2353232262532,3.7919624,193.4,26.012066
328,32190.001528943,2.23601786749922,3.7920411,193.4,26.004185
328,32200.0015294179,2.23671250092036,3.7921987,193.4,25.972664
328,32210.0015298929,2.23740713789912,3.7923169,193.4,26.098751
328,32220.0015303679,2.23810177377355,3.7924745,193.4,26.240604
328,32230.0015308429,2.23879640412143,3.7925925,193.4,26.090872
328,32240.0015313178,2.23949105108189,3.7927501,193.4,25.972664
328,32250.0015317928,2.24018568551194,3.7928684,193.4,26.130276
328,32260.0015322678,2.24088032070804,3.7930257,193.5,26.004185
328,32270.0015327428,2.24157495152655,3.7931046,193.5,25.917496
328,32280.0015332177,2.24226958338448,3.793144,193.5,26.122393
328,32290.0015336927,2.24296421789078,3.7934196,193.5,25.925379
328,32300.0015341677,2.243658849387,3.7934592,193.5,26.019945
328,32310.0015346426,2.24435348516245,3.7936165,193.5,25.941139
328,32320.0015351176,2.24504812085099,3.7938135,193.5,25.988422
328,32330.0015355926,2.24574275284048,3.7938135,193.5,25.901737
328,32340.0015360676,2.24643738739006,3.7940104,193.5,26.146036
328,32350.0015365425,2.24713201106098,3.7940893,193.5,25.988422
328,32360.0015370175,2.24782664535909,3.794168,193.5,26.216963
328,32370.0015374925,2.24852128725196,3.7942863,193.5,26.130276
328,32380.0015379675,2.2492159145672,3.7945225,193.6,26.019945
328,32390.0015384424,2.24991055167777,3.7946801,193.6,26.019945
328,32400.0015389174,2.25060519197247,3.7947984,193.6,26.067228
328,32410.0015393924,2.2512998171983,3.7948771,193.6,25.988422
328,32420.0015398674,2.25199446056904,3.795074,193.6,26.146036
328,32430.0015403423,2.25268910791235,3.7951527,193.6,25.996304
328,32440.0015408173,2.25338374762807,3.7954285,193.6,25.996304
328,32450.0015412923,2.25407839355987,3.7952709,193.6,26.004185
328,32460.0015417673,2.25477303946969,3.7955861,193.6,26.027828
328,32470.0015422423,2.25546767636173,3.7957041,193.6,25.933258
328,32480.0015427172,2.25616231074779,3.7958617,193.7,25.988422
328,32490.0015431922,2.25685695502711,3.79598,193.7,26.161798
328,32500.0015436672,2.25755157989206,3.79598,193.7,26.035707
328,32510.0015441421,2.25824620331248,3.7961373,193.7,26.240604
328,32520.0015446171,2.25894083164655,3.7963343,193.7,26.153917
328,32530.0015450921,2.25963547056377,3.7964919,193.7,26.18544
328,32540.0015455671,2.26033009976259,3.7966495,193.7,26.090872
328,32550.001546042,2.26102472050092,3.7967677,193.7,25.854452
328,32560.001546517,2.26171933565793,3.7968857,193.7,26.146036
328,32570.001546992,2.262413951593,3.797004,193.7,26.090872
